"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"38","GFAP","diencephalon","-0.197775893862863","-0.168933795456733","-0.237602187155728","-0.182559939659712","-0.0638147254286926","0.184113903471975","0.720932855667185","0.591892264412404","0.144702743075221","0.422621695087887","-0.166878771956619","-0.280271653360534","-0.352018150774297"
"39","GFAP","midbrain","-0.0297767986598517","-0.11259106738681","-0.191771299228736","-0.178997470412331","-0.236563087216574","-0.0258192781732925","0.130936502052098","0.426873512851706","0.695227516535325","0.295300842315959","0.323582415074247","-0.101959388128023","-0.669409043072767"
"40","GFAP","hindbrain","-0.0320338886602044","-0.0967588805756007","-0.152690436675387","-0.19881718816654","-0.232213501607119","-0.0912383030099863","0.116675569549399","0.322877941004939","0.515333440148867","0.497819365313952","0.394354892557773","0.108610087019827","-0.618438282273805"
"41","GLAST","telencephalon","-0.0244891794430314","-0.218502575992841","-0.38914529175198","-0.431297317864599","-0.0484445366054744","0.213950726085796","0.632837932053533","0.658512864691069","0.583470406079019","0.209274456895109","-0.181721179209488","-0.453637533188106","-0.26946622451775"
"42","GLAST","diencephalon","0.347915957652121","0.352981024146074","0.0418359610395627","-0.363985920125586","-0.496427665140446","-0.588889992353238","-0.32230270094664","-0.0602395380387395","0.359007855899582","0.498890020617935","0.286929354795934","0.00288133663035513","-0.010004205643968"
"43","GLAST","midbrain","0.253444336651257","0.311764826531846","0.212757377078411","-0.0472398761727052","-0.202666849150275","-0.569513581302242","-0.734698689126579","-0.51220350280395","0.0276252178341458","0.57158997257827","0.438845185752051","0.241078732125702","-0.028308830886325"
"44","GLAST","hindbrain","0.132263850711615","0.339957557635198","0.433659365498746","0.0906450186218009","-0.142486195313897","-0.569392250262162","-0.695742419883557","-0.513673480012269","-0.35803754872528","0.0791501955743976","0.448053102615622","0.286213179200916","0.297166368017404"
"45","Ki67","telencephalon","-0.154460950320765","-0.469655657387795","-0.40498342328389","-0.146617412997393","0.0652404529873719","0.316000407134558","0.780836832797464","0.734216111570857","0.235968285566672","0.110343770869031","-0.182158346779003","-0.36784728696701","-0.280513181369061"
"46","Ki67","diencephalon","-0.19379424053706","-0.523592304235717","-0.406839750270241","-0.0561041990059893","0.234488694745173","0.437311886344242","0.824474150952573","0.56219341835037","0.0350304634911944","-0.0526057604806774","-0.252897082608038","-0.278022332253911","-0.188047980972353"
"47","Ki67","midbrain","0.132076866329144","0.0449225871160039","0.298047610664765","-0.0266729489658887","-0.436199606679943","-0.0636762511601705","-0.521677307262591","-0.250108957928666","0.419241216064448","-0.103277683466023","0.369165809785739","0.0434364705219043","-0.156399140178037"
